day_Actual,month_Actual,year_Actual,Actual Price,Actual Harvest Season,day_Predicted,month_Predicted,year_Predicted,Predicted Price,Predicted Harvest Season
2,1,2017,33.23760377141533,Unknown,2,1,2017,33.23760377141528,Unknown
6,1,2017,41.27,Unknown,6,1,2017,41.31672142857141,Unknown
7,1,2017,33.23760377141533,Unknown,7,1,2017,34.36213924341714,Unknown
7,1,2017,33.23760377141533,Unknown,7,1,2017,34.36213924341714,Unknown
7,1,2017,33.23760377141533,Unknown,7,1,2017,34.36213924341714,Unknown
7,1,2017,33.23760377141533,Unknown,7,1,2017,34.36213924341714,Unknown
8,1,2017,33.23760377141533,Unknown,8,1,2017,33.23760377141528,Unknown
8,1,2017,33.23760377141533,Unknown,8,1,2017,33.23760377141528,Unknown
8,1,2017,33.23760377141533,Unknown,8,1,2017,33.23760377141528,Unknown
8,1,2017,33.23760377141533,Unknown,8,1,2017,33.23760377141528,Unknown
9,1,2017,41.27,Unknown,9,1,2017,41.645706684571024,Unknown
11,1,2017,41.27,Unknown,11,1,2017,41.28456999999999,Unknown
11,1,2017,41.27,Unknown,11,1,2017,41.28456999999999,Unknown
11,1,2017,43.13,Unknown,11,1,2017,41.28456999999999,Unknown
11,1,2017,43.13,Unknown,11,1,2017,41.28456999999999,Unknown
14,1,2017,33.23760377141533,Unknown,14,1,2017,33.32722773370113,Unknown
17,1,2017,41.27,Unknown,17,1,2017,41.26999999999999,Unknown
18,1,2017,41.27,Unknown,18,1,2017,41.96347,Unknown
18,1,2017,41.27,Unknown,18,1,2017,41.96347,Unknown
18,1,2017,41.27,Unknown,18,1,2017,41.96347,Unknown
18,1,2017,41.27,Unknown,18,1,2017,41.96347,Unknown
20,1,2017,41.27,Unknown,20,1,2017,41.56305921828543,Unknown
21,1,2017,33.23760377141533,Unknown,21,1,2017,33.41065169598697,Unknown
23,1,2017,41.27,Unknown,23,1,2017,40.86838018857075,Unknown
26,1,2017,41.27,Unknown,26,1,2017,41.75067714285714,Unknown
27,1,2017,41.27,Unknown,27,1,2017,41.596007014651995,Unknown
30,1,2017,41.27,Unknown,30,1,2017,41.26999999999999,Unknown
1,2,2017,47.56,Unknown,1,2,2017,47.887594609142724,Unknown
6,2,2017,47.56,Unknown,6,2,2017,47.15615100609405,Unknown
6,2,2017,47.56,Unknown,6,2,2017,47.15615100609405,Unknown
6,2,2017,47.56,Unknown,6,2,2017,47.15615100609405,Unknown
6,2,2017,47.56,Unknown,6,2,2017,47.15615100609405,Unknown
8,2,2017,47.56,Unknown,8,2,2017,47.92757730158732,Unknown
11,2,2017,33.23760377141533,Unknown,11,2,2017,33.830866287225334,Unknown
13,2,2017,47.56,Unknown,13,2,2017,47.952892193362175,Unknown
14,2,2017,49.44,Unknown,14,2,2017,47.58036666666668,Unknown
14,2,2017,49.44,Unknown,14,2,2017,47.58036666666668,Unknown
14,2,2017,47.56,Unknown,14,2,2017,47.58036666666668,Unknown
14,2,2017,47.56,Unknown,14,2,2017,47.58036666666668,Unknown
18,2,2017,33.23760377141533,Unknown,18,2,2017,35.78167493979849,Unknown
18,2,2017,33.23760377141533,Unknown,18,2,2017,35.78167493979849,Unknown
18,2,2017,33.23760377141533,Unknown,18,2,2017,35.78167493979849,Unknown
18,2,2017,33.23760377141533,Unknown,18,2,2017,35.78167493979849,Unknown
19,2,2017,33.23760377141533,Unknown,19,2,2017,33.23760377141528,Unknown
23,2,2017,49.44,Unknown,23,2,2017,47.56000000000002,Unknown
23,2,2017,49.44,Unknown,23,2,2017,47.56000000000002,Unknown
23,2,2017,49.44,Unknown,23,2,2017,47.56000000000002,Unknown
23,2,2017,47.56,Unknown,23,2,2017,47.56000000000002,Unknown
23,2,2017,47.56,Unknown,23,2,2017,47.56000000000002,Unknown
23,2,2017,47.56,Unknown,23,2,2017,47.56000000000002,Unknown
23,2,2017,47.56,Unknown,23,2,2017,47.56000000000002,Unknown
23,2,2017,47.56,Unknown,23,2,2017,47.56000000000002,Unknown
23,2,2017,47.56,Unknown,23,2,2017,47.56000000000002,Unknown
28,2,2017,47.56,Unknown,28,2,2017,48.02278587301586,Unknown
1,3,2017,43.13,Unknown,1,3,2017,41.1093520754283,Unknown
1,3,2017,43.13,Unknown,1,3,2017,41.1093520754283,Unknown
1,3,2017,41.27,Unknown,1,3,2017,41.1093520754283,Unknown
1,3,2017,41.27,Unknown,1,3,2017,41.1093520754283,Unknown
7,3,2017,41.27,Unknown,7,3,2017,41.651979047619044,Unknown
8,3,2017,43.13,Unknown,8,3,2017,40.87251352190408,Unknown
8,3,2017,43.13,Unknown,8,3,2017,40.87251352190408,Unknown
8,3,2017,41.27,Unknown,8,3,2017,40.87251352190408,Unknown
8,3,2017,41.27,Unknown,8,3,2017,40.87251352190408,Unknown
10,3,2017,41.27,Unknown,10,3,2017,40.77286779180832,Unknown
11,3,2017,33.23760377141533,Unknown,11,3,2017,33.596107953892,Unknown
11,3,2017,33.23760377141533,Unknown,11,3,2017,33.596107953892,Unknown
11,3,2017,33.23760377141533,Unknown,11,3,2017,33.596107953892,Unknown
11,3,2017,33.23760377141533,Unknown,11,3,2017,33.596107953892,Unknown
12,3,2017,33.23760377141533,Unknown,12,3,2017,33.23760377141528,Unknown
13,3,2017,43.13,Unknown,13,3,2017,38.99330509371042,Unknown
15,3,2017,41.27,Unknown,15,3,2017,41.86606357142855,Unknown
15,3,2017,41.27,Unknown,15,3,2017,41.86606357142855,Unknown
15,3,2017,41.27,Unknown,15,3,2017,41.86606357142855,Unknown
15,3,2017,41.27,Unknown,15,3,2017,41.86606357142855,Unknown
16,3,2017,43.13,Unknown,16,3,2017,41.27929999999999,Unknown
17,3,2017,41.27,Unknown,17,3,2017,41.63445125749436,Unknown
18,3,2017,33.23760377141533,Unknown,18,3,2017,33.49314565827282,Unknown
20,3,2017,41.27,Unknown,20,3,2017,41.15410862514166,Unknown
21,3,2017,41.27,Unknown,21,3,2017,42.166930952380966,Unknown
21,3,2017,41.27,Unknown,21,3,2017,42.166930952380966,Unknown
21,3,2017,41.27,Unknown,21,3,2017,42.166930952380966,Unknown
21,3,2017,41.27,Unknown,21,3,2017,42.166930952380966,Unknown
27,3,2017,41.27,Unknown,27,3,2017,41.54038921828543,Unknown
28,3,2017,41.27,Unknown,28,3,2017,41.58886519480517,Unknown
30,3,2017,41.27,Unknown,30,3,2017,41.54476627580937,Unknown
31,3,2017,41.27,Unknown,31,3,2017,41.93761428571427,Unknown
1,4,2017,33.23760377141533,lean,1,4,2017,33.39825169598697,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,45.95,lean,5,4,2017,41.41000081752321,lean
5,4,2017,45.95,lean,5,4,2017,41.41000081752321,lean
5,4,2017,45.95,lean,5,4,2017,41.41000081752321,lean
6,4,2017,41.68,lean,6,4,2017,41.690674999999935,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
13,4,2017,33.23760377141533,lean,13,4,2017,33.42780169598697,lean
14,4,2017,33.23760377141533,lean,14,4,2017,33.23760377141528,lean
20,4,2017,41.68,lean,20,4,2017,42.9133804821586,lean
22,4,2017,33.23760377141533,lean,22,4,2017,33.23760377141528,lean
25,4,2017,41.68,lean,25,4,2017,42.486691111111114,lean
27,4,2017,41.68,lean,27,4,2017,42.72351128787876,lean
28,4,2017,41.68,lean,28,4,2017,42.655202499999966,lean
29,4,2017,33.23760377141533,lean,29,4,2017,33.32202773370113,lean
1,5,2017,33.23760377141533,lean,1,5,2017,33.638335334844385,lean
3,5,2017,42.52,lean,3,5,2017,42.32455382742816,lean
3,5,2017,42.52,lean,3,5,2017,42.32455382742816,lean
3,5,2017,42.52,lean,3,5,2017,42.32455382742816,lean
3,5,2017,42.52,lean,3,5,2017,42.32455382742816,lean
